PUNT_GLOBAL,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,COLE_AREA_UBICACION,COLE_BILINGUE,FAMI_EDUCACIONMADRE
264.0,Estrato 1,No,Si,URBANO,N,Primaria incompleta
338.0,Estrato 4,Si,Si,RURAL,N,Postgrado
227.0,Estrato 3,No,No,URBANO,N,Primaria completa
260.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
290.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
249.0,Estrato 1,Si,No,URBANO,N,Primaria completa
247.0,Estrato 1,No,No,RURAL,N,Primaria incompleta
227.0,Estrato 1,No,No,URBANO,N,Primaria completa
268.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica completa
299.0,Estrato 1,No,Si,URBANO,N,Primaria completa
248.0,Estrato 3,Si,Si,RURAL,N,Educación profesional completa
197.0,Estrato 2,No,Si,RURAL,N,Secundaria (Bachillerato) completa
230.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
256.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica completa
212.0,Estrato 1,No,No,URBANO,N,Ninguno
245.0,Estrato 1,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
255.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
241.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) completa
263.0,Estrato 3,Si,Si,URBANO,N,Técnica o tecnológica completa
238.0,Estrato 1,Si,No,URBANO,N,Primaria completa
345.0,Estrato 3,Si,Si,URBANO,N,Técnica o tecnológica completa
343.0,Estrato 5,Si,Si,RURAL,N,Educación profesional completa
286.0,Estrato 3,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
192.0,Estrato 1,Si,No,URBANO,N,Secundaria (Bachillerato) incompleta
260.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
310.0,Estrato 1,Si,Si,URBANO,N,Técnica o tecnológica completa
224.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
363.0,Estrato 4,Si,Si,RURAL,N,Educación profesional incompleta
222.0,Estrato 2,Si,Si,URBANO,N,Postgrado
250.0,Estrato 3,No,Si,URBANO,N,Secundaria (Bachillerato) incompleta
193.0,Estrato 1,No,No,URBANO,N,Ninguno
309.0,Estrato 3,Si,No,RURAL,N,Secundaria (Bachillerato) incompleta
323.0,Estrato 2,Si,Si,URBANO,N,Primaria incompleta
313.0,Estrato 2,Si,Si,RURAL,N,Primaria incompleta
242.0,Estrato 2,Si,Si,URBANO,N,Educación profesional completa
292.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) completa
211.0,Estrato 1,Si,Si,URBANO,N,Primaria completa
197.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
245.0,Estrato 3,No,Si,URBANO,N,Secundaria (Bachillerato) incompleta
299.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
210.0,Sin Estrato,No,No,RURAL,N,Primaria incompleta
309.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica completa
290.0,Estrato 2,No,Si,RURAL,N,Secundaria (Bachillerato) incompleta
242.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
316.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
263.0,Estrato 3,Si,Si,RURAL,N,Postgrado
323.0,Estrato 6,Si,Si,RURAL,S,Educación profesional completa
270.0,Estrato 2,No,Si,URBANO,N,Técnica o tecnológica incompleta
358.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
307.0,Estrato 2,Si,Si,URBANO,N,Educación profesional completa
235.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) completa
278.0,Estrato 1,Si,Si,RURAL,N,Secundaria (Bachillerato) incompleta
217.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
311.0,Estrato 3,Si,Si,URBANO,N,Técnica o tecnológica incompleta
230.0,Estrato 2,Si,No,URBANO,N,Secundaria (Bachillerato) completa
240.0,Estrato 3,Si,Si,URBANO,N,Técnica o tecnológica completa
353.0,Estrato 5,Si,Si,RURAL,N,Educación profesional completa
268.0,Estrato 3,Si,Si,URBANO,N,Educación profesional completa
187.0,Estrato 1,Si,Si,URBANO,S,Ninguno
242.0,Estrato 2,Si,Si,URBANO,N,Primaria completa
343.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
227.0,Estrato 1,No,Si,URBANO,N,Primaria incompleta
240.0,Estrato 2,Si,Si,URBANO,N,Educación profesional incompleta
366.0,Estrato 3,Si,Si,URBANO,N,Educación profesional incompleta
280.0,Estrato 3,No,No,URBANO,N,Técnica o tecnológica completa
272.0,Estrato 3,No,No,URBANO,N,Técnica o tecnológica completa
207.0,Estrato 1,No,No,RURAL,N,Secundaria (Bachillerato) completa
288.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
208.0,Estrato 1,No,No,RURAL,N,Primaria incompleta
348.0,Estrato 3,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
242.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) incompleta
341.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica completa
250.0,Estrato 1,No,No,RURAL,N,Secundaria (Bachillerato) completa
203.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
269.0,Estrato 1,Si,Si,URBANO,N,Técnica o tecnológica incompleta
326.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
311.0,Estrato 1,No,No,URBANO,N,Primaria completa
238.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
300.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
198.0,Estrato 1,Si,No,URBANO,N,Primaria completa
219.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
229.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
303.0,Estrato 2,Si,Si,RURAL,N,Primaria completa
245.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
295.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
196.0,Estrato 2,No,Si,URBANO,N,Primaria completa
252.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
204.0,Estrato 2,Si,Si,URBANO,N,No sabe
223.0,Estrato 1,No,Si,URBANO,N,Secundaria (Bachillerato) incompleta
274.0,Estrato 2,Si,Si,URBANO,N,Primaria completa
286.0,Estrato 4,Si,Si,URBANO,N,Postgrado
145.0,Estrato 2,Si,Si,URBANO,N,Educación profesional incompleta
213.0,Estrato 2,No,Si,RURAL,N,Primaria completa
288.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
217.0,Estrato 2,No,No,URBANO,N,No sabe
191.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
257.0,Estrato 1,No,Si,URBANO,N,Técnica o tecnológica completa
272.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
254.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) completa
213.0,Estrato 3,Si,No,URBANO,N,Secundaria (Bachillerato) completa
223.0,Estrato 2,No,Si,URBANO,N,Técnica o tecnológica incompleta
207.0,Estrato 2,Si,Si,URBANO,N,Primaria incompleta
307.0,Estrato 3,Si,Si,URBANO,N,Técnica o tecnológica completa
198.0,Estrato 4,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
203.0,Estrato 1,No,No,URBANO,N,Secundaria (Bachillerato) completa
208.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
197.0,Estrato 2,Si,No,URBANO,N,Ninguno
305.0,Estrato 2,Si,No,URBANO,N,Técnica o tecnológica completa
202.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) incompleta
253.0,Estrato 1,Si,Si,URBANO,N,Primaria incompleta
261.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
267.0,Estrato 4,Si,Si,URBANO,N,Técnica o tecnológica completa
217.0,Estrato 1,No,Si,URBANO,N,Primaria incompleta
307.0,Estrato 1,No,Si,URBANO,N,Técnica o tecnológica completa
235.0,Estrato 2,Si,Si,RURAL,N,Educación profesional completa
288.0,Estrato 2,No,No,URBANO,N,Primaria completa
226.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica completa
329.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica completa
158.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
336.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica completa
230.0,Estrato 2,Si,No,URBANO,N,Primaria incompleta
234.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
254.0,Estrato 4,Si,Si,URBANO,N,Primaria incompleta
174.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) completa
295.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
349.0,Estrato 5,Si,Si,RURAL,S,Educación profesional completa
245.0,Estrato 2,Si,Si,URBANO,N,Primaria completa
205.0,Estrato 1,Si,Si,URBANO,N,Primaria completa
265.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
222.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
288.0,Estrato 2,No,No,URBANO,N,Primaria completa
306.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
222.0,Estrato 2,No,No,URBANO,N,Primaria completa
215.0,Estrato 1,No,No,URBANO,N,Primaria completa
240.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) completa
266.0,Estrato 3,Si,Si,URBANO,N,Técnica o tecnológica completa
367.0,Estrato 4,Si,Si,RURAL,N,Postgrado
281.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
272.0,Estrato 3,Si,Si,URBANO,N,Técnica o tecnológica completa
262.0,Estrato 4,Si,Si,URBANO,N,Educación profesional completa
360.0,Estrato 1,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
290.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
301.0,Estrato 2,No,Si,URBANO,N,Primaria completa
262.0,Estrato 2,No,Si,URBANO,N,Primaria incompleta
185.0,Estrato 2,Si,No,URBANO,N,Primaria completa
286.0,Estrato 6,Si,Si,RURAL,N,Educación profesional completa
263.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
298.0,Estrato 1,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
238.0,Estrato 3,Si,Si,RURAL,N,Educación profesional completa
313.0,Estrato 4,Si,Si,URBANO,N,Educación profesional completa
177.0,Estrato 2,Si,Si,URBANO,N,Educación profesional incompleta
218.0,Estrato 2,Si,No,URBANO,N,Primaria incompleta
193.0,Estrato 3,Si,No,URBANO,N,Secundaria (Bachillerato) incompleta
219.0,Estrato 3,Si,No,RURAL,N,Primaria completa
366.0,Estrato 3,Si,Si,URBANO,S,Educación profesional completa
350.0,Estrato 3,Si,No,URBANO,N,Secundaria (Bachillerato) completa
238.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica completa
275.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) incompleta
250.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) incompleta
204.0,Estrato 2,Si,No,URBANO,N,Primaria completa
265.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) incompleta
187.0,Estrato 3,Si,No,URBANO,N,Postgrado
296.0,Estrato 2,Si,Si,URBANO,N,Primaria incompleta
206.0,Estrato 2,Si,Si,URBANO,N,No sabe
345.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
278.0,Estrato 1,No,Si,URBANO,N,No sabe
328.0,Estrato 1,No,Si,URBANO,N,Secundaria (Bachillerato) completa
273.0,Estrato 3,Si,Si,URBANO,N,Primaria incompleta
244.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
228.0,Estrato 3,Si,Si,URBANO,N,Primaria incompleta
163.0,Estrato 1,No,No,URBANO,N,Ninguno
250.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
271.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
318.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica completa
284.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
274.0,Estrato 3,Si,Si,RURAL,N,Primaria incompleta
220.0,Estrato 1,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
294.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
334.0,Estrato 2,Si,Si,URBANO,N,Educación profesional completa
257.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
250.0,Sin Estrato,No,No,URBANO,N,Secundaria (Bachillerato) completa
297.0,Estrato 1,Si,Si,URBANO,N,Educación profesional completa
240.0,Estrato 1,No,No,URBANO,N,Secundaria (Bachillerato) completa
261.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
239.0,Estrato 2,Si,Si,URBANO,N,Educación profesional completa
237.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
212.0,Estrato 1,No,No,RURAL,N,Secundaria (Bachillerato) incompleta
289.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
264.0,Estrato 3,Si,Si,RURAL,N,No sabe
260.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
283.0,Estrato 2,No,No,RURAL,N,Secundaria (Bachillerato) completa
246.0,Estrato 3,Si,Si,URBANO,N,Educación profesional completa
307.0,Estrato 3,Si,Si,URBANO,N,Educación profesional completa
214.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
187.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
219.0,Estrato 6,No,No,URBANO,N,Secundaria (Bachillerato) completa
263.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
262.0,Estrato 1,No,Si,URBANO,N,Primaria completa
259.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
279.0,Estrato 1,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
175.0,Estrato 1,Si,No,URBANO,N,Secundaria (Bachillerato) completa
263.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
289.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
222.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica incompleta
256.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
267.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica completa
262.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
226.0,Estrato 2,Si,No,URBANO,N,Primaria completa
232.0,Estrato 2,Si,No,URBANO,N,Primaria incompleta
232.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) incompleta
269.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
320.0,Estrato 4,Si,Si,URBANO,N,Técnica o tecnológica completa
236.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
278.0,Estrato 4,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
207.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
283.0,Estrato 2,Si,Si,URBANO,N,Educación profesional completa
224.0,Estrato 1,No,No,URBANO,N,Secundaria (Bachillerato) completa
243.0,Estrato 1,No,Si,URBANO,N,Primaria completa
248.0,Estrato 4,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
280.0,Estrato 3,Si,No,URBANO,N,Educación profesional completa
200.0,Estrato 2,No,No,URBANO,N,Primaria incompleta
278.0,Estrato 3,Si,Si,URBANO,N,Técnica o tecnológica completa
205.0,Estrato 4,Si,Si,URBANO,N,No sabe
387.0,Estrato 4,Si,Si,RURAL,N,Postgrado
334.0,Estrato 1,Si,Si,URBANO,N,Primaria incompleta
203.0,Estrato 1,Si,No,URBANO,N,Técnica o tecnológica incompleta
183.0,Estrato 1,No,No,URBANO,N,Primaria completa
259.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
247.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
195.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
391.0,Estrato 3,Si,Si,RURAL,N,Postgrado
233.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
215.0,Estrato 2,Si,Si,URBANO,N,Primaria incompleta
312.0,Estrato 2,Si,Si,URBANO,N,Primaria completa
245.0,Estrato 2,No,No,URBANO,N,Educación profesional incompleta
326.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
307.0,Estrato 1,No,No,RURAL,N,Técnica o tecnológica completa
182.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
268.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) completa
326.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
177.0,Estrato 1,Si,No,RURAL,N,Primaria incompleta
328.0,Estrato 1,Si,Si,URBANO,N,Educación profesional completa
343.0,Estrato 3,Si,Si,URBANO,N,Educación profesional completa
267.0,Estrato 2,Si,Si,URBANO,N,Primaria completa
227.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
282.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
289.0,Estrato 4,Si,Si,URBANO,N,Educación profesional completa
189.0,Estrato 3,Si,Si,RURAL,N,Primaria incompleta
235.0,Estrato 2,No,No,URBANO,N,Primaria incompleta
278.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
293.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
263.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
230.0,Estrato 1,No,Si,RURAL,N,Secundaria (Bachillerato) incompleta
314.0,Estrato 3,Si,Si,RURAL,N,Técnica o tecnológica completa
212.0,Estrato 1,No,Si,RURAL,N,Primaria completa
227.0,Estrato 2,No,No,URBANO,N,Primaria completa
265.0,Estrato 2,No,No,URBANO,N,Ninguno
200.0,Estrato 1,No,No,URBANO,N,Primaria completa
282.0,Estrato 1,Si,No,URBANO,N,Primaria incompleta
271.0,Estrato 2,Si,Si,URBANO,N,Técnica o tecnológica incompleta
263.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
266.0,Estrato 3,Si,Si,URBANO,N,Técnica o tecnológica incompleta
213.0,Estrato 2,No,No,RURAL,N,Secundaria (Bachillerato) incompleta
276.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
204.0,Estrato 6,Si,Si,URBANO,N,Educación profesional completa
208.0,Estrato 3,Si,Si,URBANO,N,Primaria completa
182.0,Estrato 2,Si,No,URBANO,N,Primaria completa
238.0,Estrato 4,Si,Si,URBANO,N,Educación profesional completa
283.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) completa
237.0,Estrato 2,Si,Si,RURAL,N,Primaria completa
283.0,Estrato 3,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
218.0,Estrato 3,No,Si,URBANO,N,Secundaria (Bachillerato) incompleta
291.0,Estrato 1,Si,Si,URBANO,N,Primaria incompleta
285.0,Estrato 1,Si,Si,URBANO,N,Educación profesional completa
263.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
281.0,Estrato 4,Si,Si,RURAL,S,Postgrado
294.0,Estrato 2,No,No,RURAL,N,Secundaria (Bachillerato) incompleta
287.0,Estrato 3,Si,Si,RURAL,N,Educación profesional incompleta
268.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
232.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
184.0,Estrato 3,Si,No,URBANO,N,Secundaria (Bachillerato) completa
175.0,Estrato 1,No,No,URBANO,N,Ninguno
245.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
283.0,Estrato 2,Si,Si,URBANO,N,Primaria completa
219.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
175.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
374.0,Estrato 4,Si,Si,RURAL,S,Educación profesional completa
267.0,Estrato 2,No,Si,RURAL,N,Primaria completa
216.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
248.0,Estrato 4,No,Si,URBANO,N,Educación profesional completa
271.0,Estrato 2,Si,No,URBANO,N,Secundaria (Bachillerato) incompleta
244.0,Estrato 2,Si,No,URBANO,N,Secundaria (Bachillerato) completa
273.0,Estrato 2,No,No,URBANO,N,Primaria completa
342.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) completa
286.0,Estrato 3,No,No,URBANO,N,Técnica o tecnológica incompleta
218.0,Estrato 2,No,Si,RURAL,N,Secundaria (Bachillerato) completa
210.0,Estrato 4,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
217.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
280.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
248.0,Estrato 2,Si,Si,RURAL,N,Primaria incompleta
233.0,Estrato 1,No,Si,URBANO,N,Primaria incompleta
323.0,Estrato 2,Si,Si,URBANO,N,Primaria completa
193.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) completa
188.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
315.0,Estrato 4,Si,Si,RURAL,N,Educación profesional completa
245.0,Estrato 3,Si,Si,RURAL,N,Primaria incompleta
243.0,Estrato 1,No,Si,URBANO,N,Primaria incompleta
224.0,Estrato 1,No,Si,RURAL,N,Secundaria (Bachillerato) completa
215.0,Estrato 2,Si,No,URBANO,N,Primaria incompleta
258.0,Estrato 2,Si,No,URBANO,N,Secundaria (Bachillerato) completa
360.0,Estrato 2,No,Si,URBANO,N,Educación profesional incompleta
258.0,Estrato 3,Si,No,URBANO,N,Educación profesional completa
235.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) completa
325.0,Estrato 2,Si,Si,URBANO,N,Primaria incompleta
197.0,Estrato 2,No,No,URBANO,N,Primaria completa
310.0,Estrato 1,Si,No,RURAL,N,Secundaria (Bachillerato) completa
318.0,Estrato 3,Si,No,URBANO,N,Técnica o tecnológica incompleta
248.0,Estrato 1,No,No,RURAL,N,Primaria incompleta
271.0,Estrato 2,No,Si,URBANO,N,Primaria completa
269.0,Estrato 1,No,No,URBANO,N,Primaria completa
350.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
223.0,Estrato 3,Si,Si,URBANO,N,Educación profesional completa
284.0,Estrato 2,No,No,RURAL,N,Primaria completa
247.0,Estrato 3,Si,Si,URBANO,N,Técnica o tecnológica completa
229.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
277.0,Estrato 2,Si,No,URBANO,N,Primaria incompleta
181.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
277.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
240.0,Estrato 3,Si,Si,URBANO,N,No sabe
225.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
336.0,Estrato 1,No,No,URBANO,N,Primaria incompleta
217.0,Estrato 2,No,Si,URBANO,N,Primaria completa
285.0,Estrato 3,Si,Si,URBANO,N,Educación profesional completa
324.0,Estrato 2,Si,Si,RURAL,N,Educación profesional completa
299.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) incompleta
180.0,Estrato 1,No,No,URBANO,N,Primaria completa
208.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) incompleta
306.0,Estrato 4,Si,Si,RURAL,N,Postgrado
259.0,Estrato 3,No,No,URBANO,N,Secundaria (Bachillerato) completa
214.0,Estrato 2,Si,Si,URBANO,N,Primaria completa
259.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
264.0,Estrato 1,No,Si,URBANO,N,Secundaria (Bachillerato) incompleta
272.0,Estrato 3,Si,Si,URBANO,N,Educación profesional incompleta
298.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) completa
267.0,Estrato 1,No,No,URBANO,N,Primaria completa
290.0,Estrato 1,No,Si,URBANO,N,Secundaria (Bachillerato) incompleta
274.0,Estrato 2,No,No,URBANO,N,Primaria incompleta
203.0,Estrato 1,No,Si,URBANO,N,Secundaria (Bachillerato) completa
333.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
341.0,Estrato 2,Si,No,URBANO,N,Secundaria (Bachillerato) completa
219.0,Estrato 2,No,No,URBANO,N,Primaria incompleta
260.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) completa
295.0,Estrato 2,No,Si,RURAL,N,Secundaria (Bachillerato) completa
